Timestamp,Name,Class Section,List one topic of the class that you enjoy,What was the most challenging topic of the class?,"Overall, the learning experience for the class is",(Optional) What do you suggest to improve the class?,cleaned_List one topic of the class that you enjoy,cleaned_What was the most challenging topic of the class?,cleaned_(Optional) What do you suggest to improve the class?
10/1/2019 11:14,Student249,G4 (Tue 8:15 - 11:30 SR 3.4),Solution blueprinting ,Solution overview model,3,There are too many diagrams. Takes a long time to sieve through them when solving questions. Wish there was a compilation of all models for the teaching case instead of them being segmented and separated,solution blueprinting,solution overview model,there are too many diagram take long time to sieve through them when solve question wish there was compilation of all model for the teach case instead of them being segment and separate
10/1/2019 11:14,Student60,G4 (Tue 8:15 - 11:30 SR 3.4),Solution Overview Model,Blueprint,3,,solution overview model,blueprint,
10/1/2019 11:14,Student76,G4 (Tue 8:15 - 11:30 SR 3.4),Solution overview model,Teaching case 5 ( Looking for errors),3,,solution overview model,teach case look for error,
10/1/2019 11:14,Student56,G4 (Tue 8:15 - 11:30 SR 3.4),Application,Solution overview model,3,-,application,solution overview model,
10/1/2019 11:14,Student49,G4 (Tue 8:15 - 11:30 SR 3.4),application model,solution overview,2,,application model,solution overview,
10/1/2019 11:14,Student54,G4 (Tue 8:15 - 11:30 SR 3.4),Solution Overview,Application Model,3,Slide numbers for all slides ,solution overview,application model,slide number for all slide
10/1/2019 11:15,Student64,G4 (Tue 8:15 - 11:30 SR 3.4),-,solution model,2,"Materials are being reused for classes over the weeks, its very difficult to cross reference. ",,solution model,material are being reuse for class over the week it very difficult to cross reference
10/1/2019 11:17,Student125,G4 (Tue 8:15 - 11:30 SR 3.4),Solution blueprinting,Solution overview model,3,,solution blueprinting,solution overview model,
10/1/2019 11:17,Student63,G4 (Tue 8:15 - 11:30 SR 3.4),Application model,Solution Overview Model,4,More examples for each model before class activity,application model,solution overview model,more example for each model before class activity
10/1/2019 11:18,Student45,G4 (Tue 8:15 - 11:30 SR 3.4),solution overview model,integrating solution overview model and application model,4,go through the integration process between models,solution overview model,integrate solution overview model and application model,go through the integration process between model
10/1/2019 11:19,Student81,G4 (Tue 8:15 - 11:30 SR 3.4),Application Model ,nil,3,,application model,,
10/1/2019 11:21,Student48,G4 (Tue 8:15 - 11:30 SR 3.4),Understanding the need for a risk model and how to go about creating it ,Understanding how to derive the Application model accurately.,4,Nil ,understand the need for risk model and how to go about create it,understand how to derive the application model accurately,
10/1/2019 11:21,Student50,G4 (Tue 8:15 - 11:30 SR 3.4),Application Model ,Application Model ,4,more case studies,application model,application model,more case study
10/1/2019 11:21,Student66,G4 (Tue 8:15 - 11:30 SR 3.4),Application model,Solution overview,3,,application model,solution overview,
10/1/2019 11:22,Student55,G4 (Tue 8:15 - 11:30 SR 3.4),risk model,application model,3,,risk model,application model,
10/1/2019 11:22,Student46,G4 (Tue 8:15 - 11:30 SR 3.4),Application model,Crafting the application model,3,,application model,craft the application model,
10/1/2019 11:22,Student62,G5 (Wed 12:00 - 15:15 SR 3.3),Solution application model,Teaching case part 5,4,,solution application model,teach case part,
10/1/2019 11:22,Student83,G4 (Tue 8:15 - 11:30 SR 3.4),Risk model,Application model,3,,risk model,application model,
10/1/2019 11:22,Student53,G4 (Tue 8:15 - 11:30 SR 3.4),learning about solution blueprint,trying to understand the big picture of all the classes,4,have a timeline to show which part of the whole bpas process we are at for each class and how each model uses other models,learn about solution blueprint,try to understand the big picture of all the class,have timeline to show which part of the whole bpas process we are at for each class and how each model use other model
10/1/2019 11:22,Student58,G4 (Tue 8:15 - 11:30 SR 3.4),Solution Overview Modelling and Application Modelling,Solution Overview Modelling,4,,solution overview modelling and application modelling,solution overview model,
10/1/2019 11:23,Student75,G4 (Tue 8:15 - 11:30 SR 3.4),Solution Overview Model,Application Model,3,,solution overview model,application model,
10/1/2019 11:23,Student368,G4 (Tue 8:15 - 11:30 SR 3.4),Application Model,Linking this to the previous models,4,,application model,link this to the previous model,
