Name,Challenging_Module 5 : Business Process Analysis (Static)_1,Challenging_Module 2 : Business IT Alignment,Challenging_Module 4: Business Process Modelling P2,Challenging_Module 7 : Business Process Solutioning (IT requirements)_1,Challenging_In class activities/presentation,Challenging_Module 7 : Business Process Solutioning (IT requirements)_2,Challenging_Module 5 : Business Process Analysis (Static)_2,Enjoy_In class presentations,Enjoy_Module 6 : Business Process Analysis (Dynamic),Enjoy_Module 5 : Business Process Analysis (Static)_1,Enjoy_Module 5 : Business Process Analysis (Static)_2,Enjoy_Module 4: Business Process Modelling P2_1,Enjoy_Module 4: Business Process Modelling P2_2
Student1,0,1,1,0,1,0,2,1,1,0,2,0,2
Student10,0,1,1,0,0,0,0,1,0,0,0,0,2
Student100,0,1,0,1,2,0,1,1,1,1,1,0,3
Student101,1,1,1,1,1,0,2,2,0,1,1,2,3
Student102,1,1,0,1,1,1,0,1,0,0,0,1,4
Student103,0,1,0,1,0,0,2,1,1,1,0,0,4
Student104,0,3,0,0,0,0,1,2,2,0,1,1,2
Student105,1,0,1,1,1,1,1,1,1,0,2,1,2
Student106,0,4,0,0,1,1,0,2,0,1,2,0,1
Student107,0,1,0,0,1,1,1,2,0,1,1,0,1
Student108,1,1,2,0,1,1,0,1,1,0,0,1,1
Student109,0,0,1,0,3,0,0,2,0,0,0,1,3
Student11,1,0,0,0,0,1,1,1,1,1,0,0,3
Student110,1,0,0,0,3,0,0,2,0,0,1,0,5
Student111,1,2,3,0,0,0,0,1,0,0,2,1,2
Student112,0,0,1,1,1,0,1,1,0,1,2,0,3
Student113,1,1,1,1,0,0,0,1,0,1,2,1,3
Student114,1,1,2,0,0,0,0,1,0,0,2,0,3
Student115,0,0,1,2,2,2,0,1,0,1,0,3,1
Student116,0,1,3,0,2,0,0,0,0,0,0,2,2
Student117,1,0,3,3,0,0,0,1,1,0,1,2,2
Student118,0,0,1,2,1,1,0,1,1,0,0,2,3
Student119,0,4,0,2,0,0,2,0,1,0,1,1,3
Student12,1,2,0,0,0,0,0,0,0,1,0,1,0
Student120,0,2,2,0,1,0,2,1,1,1,1,2,2
Student121,1,0,2,0,0,0,1,0,0,1,1,2,3
Student122,0,2,0,1,1,2,0,2,0,1,0,3,2
Student123,0,0,0,0,2,1,2,1,1,0,2,0,2
Student124,1,1,3,0,2,0,1,1,0,2,2,1,1
Student125,0,1,1,0,0,0,1,1,0,0,0,0,5
Student126,0,2,0,1,1,0,1,2,1,0,0,2,1
Student127,1,0,1,0,0,1,0,1,1,1,1,1,0
Student128,0,2,0,0,0,0,0,1,1,2,1,1,2
Student129,0,0,0,0,0,0,1,1,0,1,1,0,0
Student13,0,0,1,1,0,0,2,1,1,1,2,0,1
Student130,0,0,0,1,0,0,0,0,0,0,0,1,2
Student131,0,0,0,0,0,1,0,1,0,0,0,0,0
Student132,0,0,0,1,0,0,1,0,0,0,1,2,2
Student133,1,0,1,1,1,1,0,0,0,0,0,0,2
Student134,1,1,0,1,0,0,1,0,2,0,0,0,2
Student135,0,0,0,0,1,1,1,2,0,1,0,0,2
Student136,1,0,0,0,0,1,0,0,0,0,1,2,1
Student137,0,0,0,0,0,0,0,0,1,0,1,2,0
Student138,0,0,0,1,0,0,0,0,0,0,0,1,0
Student139,1,1,1,1,1,0,0,0,1,0,1,1,3
Student14,1,0,1,0,0,0,1,0,2,0,0,1,3
Student140,1,0,0,0,1,0,0,0,2,1,1,0,1
Student141,2,0,1,0,0,1,0,1,0,0,0,0,3
Student142,1,1,2,0,1,0,0,1,1,0,0,1,0
Student143,0,3,1,0,0,1,0,1,0,0,3,0,2
Student144,1,0,1,0,1,1,0,0,1,0,0,2,1
Student145,1,0,1,0,0,0,0,1,2,0,0,0,2
Student146,2,1,0,0,0,0,1,2,1,0,0,0,3
Student147,0,0,1,0,0,1,2,0,0,1,0,1,1
Student148,0,1,0,0,1,0,0,0,1,0,2,0,2
Student149,0,0,0,2,0,0,1,1,0,2,0,0,3
Student15,0,0,0,0,4,0,1,0,1,0,0,1,1
Student150,0,0,0,2,1,1,1,0,0,0,1,0,0
Student151,0,1,2,2,1,0,1,0,0,1,1,2,4
Student152,1,1,0,0,1,0,1,1,0,0,0,1,4
Student153,1,0,1,0,0,0,0,0,0,1,0,0,0
Student154,0,0,0,1,1,0,0,0,0,0,2,1,2
Student155,1,0,0,0,0,0,0,1,1,0,0,1,2
Student156,2,1,0,0,3,0,0,1,0,0,1,3,2
Student157,1,0,1,0,1,0,1,2,0,1,2,0,3
Student158,1,0,1,1,0,0,1,0,1,0,0,2,3
Student159,1,1,0,0,1,0,0,2,1,1,2,0,2
Student16,2,1,0,0,1,0,0,0,0,1,0,1,1
Student160,0,0,0,1,2,1,1,1,0,1,0,1,3
Student161,0,0,1,0,0,0,1,0,1,0,1,0,1
Student162,0,0,0,0,0,0,1,0,0,0,0,0,2
Student163,1,1,0,0,0,0,0,1,1,1,1,0,2
Student164,1,1,1,0,0,0,0,1,1,0,2,0,1
Student165,0,2,0,0,0,1,1,1,1,1,0,1,1
Student166,0,0,1,0,3,1,1,0,1,0,0,1,2
Student167,1,0,2,1,4,0,0,2,1,0,1,1,1
Student168,2,0,1,1,0,0,2,1,1,1,1,0,2
Student169,0,1,0,1,1,0,2,0,2,1,1,1,2
Student17,1,4,1,1,1,0,0,0,1,0,0,0,1
Student170,1,2,0,1,1,1,0,3,0,0,1,2,4
Student171,1,0,0,1,2,0,0,2,1,0,1,1,2
Student172,0,2,0,0,7,0,0,2,0,1,1,1,1
Student173,0,0,0,1,3,0,2,0,2,0,0,2,0
Student174,1,1,1,1,0,1,1,0,1,1,4,0,2
Student175,1,1,0,0,0,0,1,0,0,1,2,0,2
Student176,1,0,1,1,2,0,1,1,2,0,1,1,2
Student177,1,0,1,0,0,0,0,1,0,0,2,1,3
Student178,1,1,1,0,0,1,0,2,1,0,1,0,2
Student179,2,0,1,0,2,1,0,1,0,1,1,1,2
